State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,Rural_Households,Census_2001_IHHL
ANDHRA PRADESH,1,ADILABAD,7845.08,5210.61,1918.19,716.28,3334.50,1026.28,632.57,4993.35,4586.53,1046.61,632.98,6266.12,247475,148181,395656,0,4462,427,10,0,206905,52432,259337,0,5030,427,0,0,5592.07,4143.54,74.10,989.00,1427.90,100.00,30.00,35.90,100.00,0.00,0.00,0.00,32922,18303,155680,0,24.76,1,0,0,0,0,0,473949,44311
ANDHRA PRADESH,2,ANANTAPUR,6308.72,4059.29,1394.66,854.77,2213.51,1456.50,1331.82,5001.83,1766.54,1460.69,1327.89,4555.13,363314,181335,544649,0,3421,284,10,0,370124,42200,412324,0,4542,659,0,0,3838.47,3261.62,84.97,884.20,844.45,95.50,14.20,39.75,100.00,0.00,10.41,0.00,55925,18623,295576,0,20.14,0,0,0,0,0,0,698439,70929
ANDHRA PRADESH,3,CHITTOOR,7680.84,5036.09,1875.03,769.72,3909.82,1329.78,532.18,5771.78,3313.09,1157.33,532.18,5002.60,296465,236986,533451,0,8171,375,10,0,275446,196146,471592,0,8171,375,11,0,4829.60,2712.84,56.17,1800.86,1571.29,87.25,18.76,73.48,100.00,0.00,0.00,0.00,43234,8452,223760,0,18.76,0,0,0,0,0,0,727635,94962
ANDHRA PRADESH,4,CUDDAPAH,6440.21,3924.41,1662.14,853.66,2763.60,1332.28,1357.02,5452.90,3367.21,1348.99,796.67,5512.87,251653,251610,503263,0,6802,277,10,0,245344,125493,370837,0,5851,277,0,0,3835.40,4189.49,100.00,1659.96,819.04,49.34,14.76,3.60,24.39,0.00,0.00,0.00,37005,7397,200942,0,18.10,0,0,0,0,0,0,475919,77225
ANDHRA PRADESH,5,EAST GODAVARI,9690.38,6324.81,2329.86,1035.71,5302.66,1886.72,1081.32,8270.70,5472.06,1888.11,1082.23,8442.40,370255,191400,561655,50,7004,1164,10,0,375406,191400,566806,49,7167,1038,20,0,6674.52,5974.91,89.52,1475.66,1538.49,100.00,81.16,42.04,51.80,100.00,88.20,88.20,88909,34199,218910,0,32.79,44022,19140,0,0,0,0,1063044,231280
ANDHRA PRADESH,6,GUNTUR,12563.94,6298.09,3611.81,2654.04,3986.24,1783.72,698.21,6468.17,3381.81,1784.63,698.21,5864.66,370996,319053,690049,0,5346,215,10,0,275179,85950,361129,0,5116,215,37,0,9644.83,4267.48,44.25,1332.16,1064.33,79.90,13.19,9.93,75.28,0.00,0.00,0.00,37889,12916,223900,0,18.46,0,0,0,0,0,0,877109,199735
ANDHRA PRADESH,7,KARIMNAGAR,10849.48,7165.48,2612.85,1071.15,6202.87,2701.76,176.13,9080.76,8853.07,2698.41,176.13,11727.61,365267,219763,585030,0,5848,298,10,0,423962,63127,487089,0,6448,600,13,0,7893.18,9940.64,100.00,1169.60,964.32,82.45,14.90,32.20,100.00,0.00,0.00,0.00,76637,17458,329855,7992,22.19,1,0,1,0,0,0,746956,107825
ANDHRA PRADESH,8,KHAMMAM,5033.95,3296.76,1226.56,510.63,3279.69,732.81,510.65,4523.15,4417.74,732.08,294.02,5443.84,189225,4860,194085,0,6318,521,10,0,211914,4870,216784,0,6318,521,15,10,2990.37,3443.23,100.00,1263.60,1257.60,99.53,31.94,44.28,100.00,0.00,0.00,0.00,66652,36918,102728,0,48.87,0,0,0,0,0,0,578490,87256
ANDHRA PRADESH,9,KRISHNA,9115.68,5977.79,2174.82,963.07,3883.94,777.11,283.63,4944.68,3438.02,775.04,281.48,4494.54,351572,175991,527563,17,3374,62,10,0,326758,104197,430955,8,3374,171,40,0,6879.66,3286.33,47.77,821.20,429.94,52.36,3.10,0.87,28.06,34.00,20.00,58.82,70043,15704,235982,0,26.24,2000,600,0,0,0,0,754361,233301
ANDHRA PRADESH,10,KURNOOL,10196.49,6720.35,2491.52,984.62,4237.66,1719.21,573.54,6530.42,2714.74,1718.37,463.12,4896.23,383478,129956,513434,0,4669,2111,10,0,327498,174773,502271,13,4669,298,49,0,7470.95,2873.88,38.47,1131.50,966.90,85.45,162.80,11.57,7.11,0.00,0.00,0.00,44037,2110,151578,0,14.09,50,32,9,5,3,2,630786,86436
